Consumo ClO2 Etapa D0 L1,CONSUMO ESPECIFICO CLO2
0.203,22.62446417735972
0.203,17.796519225236327
0.178,16.260997785738105
0.193,17.689589852698752
0.205,16.05819145323389
0.205,18.32402241894592
0.171,17.122096742388678
0.208,19.61435106755752
0.199,19.409467397547875
0.196,16.537355111135696
0.194,17.34408000935945
0.178,17.350507222072665
0.197,18.646506544693032
0.176,17.879547581004957
0.188,16.508450715488138
0.195,17.031861302359665
0.192,19.59249428827828
0.184,18.20475774561981
0.188,18.14609433895508
0.181,16.829124115196485
0.185,15.886062550298131
0.203,16.13592017612587
0.197,16.72006830842985
0.196,16.998189228666657
0.189,17.207581205581516
0.189,16.257038727848272
0.196,17.323562967270338
0.183,17.509413001188936
0.2,18.163950623733367
0.194,16.68559727009883
0.175,16.495964000674213
0.168,16.29854420425631
0.189,16.849756591580547
0.178,16.00936608842673
0.182,17.11846778099173
0.183,16.957081989872812
0.192,17.859456185665355
0.191,16.490465500137606
0.185,17.75286855584058
0.193,17.71792032779719
0.204,16.023153060200176
0.203,15.830646488899884
0.195,17.359419425060675
0.18,15.851770141623303
0.192,16.852294461173017
0.171,15.651757092118777
0.179,16.321928398674935
0.2,16.865382535279114
0.189,17.37120694058989
0.191,16.970433192529477
0.184,18.72783521433256
0.209,18.67238384744269
0.199,16.7410277986811
0.194,16.637764381027978
0.197,17.249727986963777
0.188,16.310422450381033
0.173,17.556885690015395
0.189,18.965062749658827
0.18,15.842231107133465
0.192,17.231067183151744
0.212,19.47046103619374
0.186,17.171361157623537
0.175,16.385361112266597
0.177,17.40549869992381
0.184,18.534588602992454
0.192,16.589994917630243
0.186,16.785155763730383
0.193,16.56118769114247
0.189,16.721743178604413
0.196,17.359090770976522
0.192,17.869468851179242
0.202,18.046033444743568
0.189,18.375781743643778
0.201,20.54643320249647
0.183,17.489022011064968
0.199,17.575958199308012
0.195,17.968331073763892
0.187,17.55497237308099
0.199,17.340866095899067
0.193,16.508339140509666
0.193,18.4047642294038
0.199,18.066560398124487
0.214,17.513704619468793
0.183,17.763071043328946
0.177,16.344508936202626
0.19,18.17445677428828
0.173,18.59116781143629
0.182,17.84156244907955
0.194,19.132956986666347
0.181,17.577710542865898
0.193,17.009964553132967
0.198,17.90028476711226
0.183,17.239710324931544
0.203,17.675558224267135
0.175,16.160895545733517
0.198,19.50269153410062
0.181,16.988130721948707
0.191,16.88703287010877
0.176,16.91925672338696
0.191,17.71437221837645
0.189,16.75134150508851
0.186,16.81814612528285
0.188,16.051346003602394
0.184,15.837701519237404
0.188,17.109379604391133
0.201,16.425952489811976
0.184,17.707128980022752
0.193,18.58924082691248
0.207,21.764504151924545
0.185,17.150299702666484
0.183,18.786051799556223
0.194,17.615238507599123
0.198,18.409219554386
0.185,17.175027407770887
0.188,16.738342311432735
0.187,17.765755596474357
0.197,16.91330913301271
0.198,18.405507540403605
0.2,18.294463551972797
0.169,17.550540907102935
0.216,18.4266029359996
0.179,17.24875557772397
0.202,16.73719900164188
0.199,18.473480122226565
0.212,22.02522397480772
0.198,18.98853284081268
0.193,16.414849261278672
0.18,15.717659632573048
0.177,15.973246961648336
0.189,17.253554800983828
0.187,17.352069257302613
0.182,17.036977033231665
0.192,18.35190234511145
0.19,18.43682985728833
0.193,16.558109993616043
0.184,16.5526942155275
0.207,20.142039271079
0.186,17.724326714620254
0.196,16.773337498806114
0.177,16.106155877420683
0.191,17.928474680042353
0.203,17.925759502605928
0.179,17.077090561817087
0.188,18.57100000549829
0.189,17.229948215534783
0.191,15.300082076628888
0.2,16.761155676753937
0.194,16.859364147086257
0.182,17.669996184600674
0.197,17.1263699602694
0.187,16.466236375205472
0.199,17.287514776710424
0.181,17.17285559606644
0.196,17.834253691425996
0.19,17.175091310598496
0.176,17.25534306008768
0.173,16.81744475721195
0.179,16.016634662095655
0.185,16.906029439489885
0.187,18.407796149630844
0.177,16.197768389594987
0.176,18.33578182783417
0.18,17.144056258578537
0.122,16.31190306617455
0.199,17.0613122735914
0.201,16.545030868813
0.183,16.227769660603503
0.186,18.354807942107417
0.19,18.664701172280168
0.195,17.025033276326077
0.178,16.192942860691087
0.195,16.54211365263711
0.195,16.850139636709052
0.192,19.067822078761075
0.198,16.43576685576032
0.165,17.81421401831999
0.199,17.127001228416994
0.202,18.27131721390056
0.208,15.855243861111417
0.171,17.172970236392608
0.171,17.35586671773647
0.182,17.625347613990836
0.186,15.622625570197384
0.209,18.61257591101984
0.188,16.300335307596665
0.189,16.352256095051203
0.184,17.737038711184
0.193,17.392169670849793
0.204,16.542731562894215
0.183,16.684706919594106
0.195,20.054463112824813
0.191,17.93748509934399
0.2,18.214364874511148
0.199,18.184100541305465
0.199,17.375084394129498
0.18,16.788177697753568
0.201,18.088417109027237
0.203,16.882258872415157
0.176,18.522195138599333
0.202,16.639467121813393
0.195,16.770338765257346
0.178,18.06932502061781
0.195,17.242625831416692
0.202,18.26078589732812
0.188,15.231026067436773
0.199,18.681115002901343
0.196,18.59252464571126
0.204,19.04955533150818
0.201,18.602818025656827
0.162,18.320296225655262
0.214,19.95063941393611
0.179,16.584175501335157
0.178,17.218283790022525
0.186,16.44324930118428
0.195,17.848575433310092
0.18,17.31719836226989
0.197,16.89655174411402
0.197,19.759338682583085
0.171,17.65139258415235
0.186,17.63324099531297
0.201,19.973993829624018
0.167,16.179681271485716
0.196,17.92229962316033
0.173,18.37428042141492
0.177,17.33852287899095
0.202,19.44724250061816
0.191,18.36383266859343
0.188,17.586899614715044
0.199,17.507724489172375
0.199,17.282672597079408
0.203,17.589014191386248
0.202,16.87195613324428
0.201,17.865446504144018
0.196,17.712707031934617
0.191,17.960287226995344
0.198,16.406048274307487
0.142,16.278779972753924
0.181,16.12016565928491
0.172,16.626335656802397
0.178,16.57385057067555
0.193,17.86812903024388
0.197,17.35878689645435
0.203,16.351436956189673
0.192,16.95315513555847
0.19,17.05019335097997
0.207,19.259579636402584
0.195,16.726404444713836
0.191,16.119713864634207
0.197,16.770775857680785
0.206,21.4414480800494
0.184,15.960471456248662
0.19,18.15962304142668
-0.004,16.28422902365442
0.19,17.991054875236028
0.2,17.214150732116114
0.199,16.804729059937138
0.183,17.836124488802586
0.193,18.88470262831953
0.199,17.612087689262093
0.169,16.93964345311129
0.209,16.74398146409681
0.171,17.730016841893693
0.192,21.728628726477357
0.178,17.137743064285306
0.198,15.59808682062239
0.203,18.64651460561732
0.18,16.061740750720936
0.203,17.4031409380189
0.197,19.041293622776145
0.209,19.674828665807667
0.194,18.66710973508678
0.194,18.046060034906464
0.198,16.616913567533683
0.189,18.298886501228303
0.205,17.200952826530887
0.195,17.092311954670922
0.197,18.527582774176214
0.203,18.107418249752342
0.186,17.027713769055424
0.196,18.59082384010106
0.197,16.587164336892837
0.2,17.056380711595818
0.198,17.397779194520176
0.195,18.002448222150797
0.183,16.94773448703546
0.194,20.86387348185942
0.195,16.840013964825005
0.2,18.36102418234416
0.176,16.029498181899832
0.185,16.72558339646312
0.207,18.003783785996337
0.185,17.388233146310384
0.201,19.46717342609405
0.197,17.983788770873456
0.186,16.724281861593305
0.2,16.90717388642925
0.202,18.326507209976626
0.187,16.497700975438747
0.181,17.50924546827417
0.189,18.961379717445865
0.185,17.04405734882907
0.2,18.077296465872628
0.187,16.227464463962423
0.19,19.085867819376244
0.181,16.31701068018928
0.204,18.122902089800395
0.2,16.95675588810521
0.204,18.648090005037577
0.164,18.061733436146238
0.176,15.79241627158914
0.193,17.78673283968252
0.179,15.973836155577713
0.202,17.111656876358595
0.169,18.791896522062963
0.169,16.762944295062255
0.172,16.85863043304597
0.184,16.777236383430683
0.174,17.22194898689923
0.185,16.82493978820485
0.177,15.960666720722694
-0.003,17.099031984705213
0.183,17.103970091418223
0.189,18.664421749103333
0.179,17.299718006891773
0.178,19.933437754430543
0.176,15.838251348853996
0.209,16.03872670970567
0.195,17.611700121047203
0.203,19.22277352355211
0.199,18.179575786865332
0.221,19.77544841484836
0.178,16.691900340749786
0.223,18.91461705397628
0.207,18.49477127245948
0.203,17.36899685420291
0.19,18.63077709109869
0.178,17.390686642281487
0.197,16.935693171074462
0.176,16.252035794373498
0.172,16.23728820261234
0.184,18.67429689175041
0.196,17.977254680149326
0.202,19.10387959636344
0.195,16.66335905767227
0.199,16.82916282486508
0.189,16.88818167170946
0.2,17.18220859292691
0.179,18.19002507748813
0.179,16.047601126035335
0.198,18.379929222415093
0.196,18.57593023006123
0.185,17.059967753955704
0.205,17.988390203508903
0.206,19.04723857403016
0.184,17.325605975454792
0.183,17.36169587044404
0.196,16.514820105430235
0.19,15.233341637205898
0.202,16.010027503658485
0.194,18.434171335129896
0.186,17.969509561008397
0.171,15.983206497795434
0.189,17.486049673036355
0.195,17.91859330684385
0.197,18.218302787565637
0.219,18.736760804105888
0.181,16.76398689701855
0.189,16.95174978766423
0.199,16.9264417256212
0.176,17.166752115683618
0.192,17.03927211064447
0.191,16.529465714943026
0.173,17.385423817829444
0.158,18.90342663949312
0.198,17.81433571598639
